# elapsed_milliseconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
1206,28.78,1040.00,29.99,0.27,-220.24
2274,28.78,1040.20,29.99,0.27,-221.87
3342,28.78,1040.00,29.99,0.27,-220.24
4410,28.77,1040.00,29.99,0.27,-220.24
5478,28.77,1040.00,30.00,0.27,-220.24
6546,28.77,1039.90,30.00,0.27,-219.42
7614,28.77,1040.30,30.00,0.27,-222.68
8682,28.76,1039.70,30.00,0.26,-217.79
9750,28.76,1040.60,30.00,0.27,-225.13
10818,28.76,1040.20,30.00,0.27,-221.87
11886,28.76,1040.00,30.00,0.27,-220.24
12957,28.76,1040.00,30.01,0.27,-220.24
14025,28.76,1040.00,30.00,0.27,-220.24
15093,28.76,1040.30,30.01,0.27,-222.68
16161,28.76,1039.90,30.01,0.27,-219.42
17229,28.76,1040.10,30.01,0.27,-221.05
18297,28.76,1040.20,30.01,0.27,-221.87
19365,28.76,1040.00,30.01,0.27,-220.24
20451,28.76,1039.30,30.01,0.26,-214.54
21519,28.76,1039.90,30.01,0.27,-219.42
22587,28.76,1040.10,30.02,0.27,-221.05
23655,28.76,1040.40,30.01,0.27,-223.50
24723,28.77,1039.30,30.02,0.26,-214.54
25791,28.76,1039.90,30.02,0.27,-219.42
26862,28.77,1040.00,30.02,0.27,-220.24
27930,28.77,1040.20,30.02,0.27,-221.87
28998,28.77,1039.80,30.02,0.27,-218.61
30066,28.77,1040.30,30.02,0.27,-222.68
31134,28.77,1040.20,30.03,0.27,-221.87
32202,28.77,1040.00,30.03,0.27,-220.24
33270,28.77,1040.10,30.03,0.27,-221.05
34338,28.77,1039.80,30.03,0.27,-218.61
35406,28.77,1039.80,30.03,0.27,-218.61
36474,28.77,1040.20,30.03,0.27,-221.87
37542,28.77,1039.90,30.03,0.27,-219.42
38610,28.77,1040.10,30.04,0.27,-221.05
39678,28.77,1040.00,30.03,0.27,-220.24
40749,28.77,1040.80,30.03,0.28,-226.76
41817,28.77,1039.70,30.04,0.26,-217.79
42885,28.77,1040.30,30.04,0.27,-222.68
43953,28.77,1040.30,30.04,0.27,-222.68
45021,28.76,1040.40,30.04,0.27,-223.50
46089,28.76,1039.70,30.04,0.26,-217.79
47157,28.77,1040.30,30.04,0.27,-222.68
48225,28.76,1040.30,30.04,0.27,-222.68
49293,28.76,1039.60,30.04,0.26,-216.98
50361,28.76,1040.20,30.04,0.27,-221.87
51429,28.76,1040.10,30.04,0.27,-221.05
52497,28.76,1040.20,30.05,0.27,-221.87
53565,28.75,1040.10,30.05,0.27,-221.05
54636,28.76,1039.40,30.04,0.26,-215.35
55704,28.76,1040.00,30.05,0.27,-220.24
56772,28.76,1040.40,30.05,0.27,-223.50
57840,28.76,1039.40,30.05,0.26,-215.35
58908,28.76,1040.10,30.06,0.27,-221.05
59976,28.77,1040.10,30.06,0.27,-221.05
61044,28.76,1040.10,30.05,0.27,-221.05
62112,28.76,1040.10,30.06,0.27,-221.05
63180,28.76,1040.00,30.06,0.27,-220.24
64248,28.77,1040.00,30.06,0.27,-220.24
65316,28.77,1040.50,30.06,0.27,-224.31
66384,28.77,1039.60,30.07,0.26,-216.98
67452,28.77,1040.10,30.07,0.27,-221.05
68523,28.77,1040.60,30.07,0.27,-225.13
69591,28.77,1039.90,30.07,0.27,-219.42
70659,28.76,1039.70,30.07,0.26,-217.79
71727,28.76,1040.00,30.07,0.27,-220.24
72795,28.77,1039.80,30.08,0.27,-218.61
73863,28.77,1040.30,30.08,0.27,-222.68
74931,28.77,1040.30,30.08,0.27,-222.68
75999,28.77,1040.30,30.08,0.27,-222.68
77067,28.77,1039.80,30.08,0.27,-218.61
78135,28.77,1040.00,30.09,0.27,-220.24
79203,28.76,1040.00,30.09,0.27,-220.24
80271,28.77,1039.80,30.09,0.27,-218.61
81342,28.77,1040.40,30.09,0.27,-223.50
82410,28.77,1039.90,30.09,0.27,-219.42
83478,28.77,1040.00,30.09,0.27,-220.24
84546,28.77,1040.20,30.09,0.27,-221.87
85628,28.77,1040.30,30.09,0.27,-222.68
86696,28.77,1040.20,30.09,0.27,-221.87
87764,28.77,1040.00,30.09,0.27,-220.24
88832,28.77,1040.20,30.10,0.27,-221.87
89900,28.77,1040.00,30.10,0.27,-220.24
90968,28.78,1039.90,30.10,0.27,-219.42
92036,28.78,1040.00,30.10,0.27,-220.24
93104,28.78,1040.30,30.10,0.27,-222.68
94172,28.77,1040.00,30.10,0.27,-220.24
95243,28.77,1039.40,30.10,0.26,-215.35
96311,28.77,1040.30,30.10,0.27,-222.68
97379,28.77,1039.50,30.10,0.26,-216.17
98447,28.77,1040.40,30.10,0.27,-223.50
99515,28.78,1039.80,30.11,0.27,-218.61
100583,28.77,1040.20,30.11,0.27,-221.87
101651,28.78,1040.10,30.11,0.27,-221.05
102719,28.78,1039.90,30.11,0.27,-219.42
103787,28.78,1039.80,30.11,0.27,-218.61
104855,28.78,1040.20,30.11,0.27,-221.87
105923,28.78,1039.70,30.11,0.26,-217.79
107399,28.78,1040.00,30.12,0.27,-220.24
108467,28.78,1040.10,30.12,0.27,-221.05
109950,28.78,1039.60,30.12,0.26,-216.98
111020,28.77,1039.80,30.13,0.27,-218.61
112088,28.78,1039.30,30.13,0.26,-214.54
113156,28.77,1039.70,30.13,0.26,-217.79
114224,28.77,1040.20,30.13,0.27,-221.87
115292,28.78,1039.70,30.13,0.26,-217.79
116360,28.77,1040.00,30.14,0.27,-220.24
117428,28.78,1040.10,30.14,0.27,-221.05
118496,28.78,1039.80,30.14,0.27,-218.61
119564,28.78,1039.70,30.14,0.26,-217.79
120632,28.78,1040.10,30.14,0.27,-221.05
121700,28.78,1039.90,30.15,0.27,-219.42
122771,28.78,1039.50,30.14,0.26,-216.17
123839,28.78,1039.80,30.15,0.27,-218.61
124907,28.78,1039.70,30.15,0.26,-217.79
125975,28.78,1040.20,30.15,0.27,-221.87
127043,28.78,1039.80,30.15,0.27,-218.61
128111,28.78,1039.70,30.16,0.26,-217.79
129179,28.78,1039.90,30.16,0.27,-219.42
130247,28.78,1040.30,30.16,0.27,-222.68
131315,28.78,1039.40,30.16,0.26,-215.35
132383,28.77,1040.10,30.17,0.27,-221.05
133451,28.77,1039.50,30.17,0.26,-216.17
134519,28.78,1039.90,30.17,0.27,-219.42
135587,28.78,1040.10,30.18,0.27,-221.05
136658,28.78,1040.40,30.17,0.27,-223.50
137726,28.77,1040.00,30.18,0.27,-220.24
138794,28.78,1039.80,30.18,0.27,-218.61
139862,28.78,1039.90,30.18,0.27,-219.42
140930,28.78,1039.80,30.18,0.27,-218.61
141998,28.78,1039.60,30.18,0.26,-216.98
143066,28.78,1039.80,30.19,0.27,-218.61
144134,28.78,1040.10,30.19,0.27,-221.05
145202,28.78,1039.80,30.19,0.27,-218.61
146270,28.77,1039.80,30.19,0.27,-218.61
147338,28.78,1040.10,30.19,0.27,-221.05
148406,28.78,1039.70,30.19,0.26,-217.79
149477,28.78,1039.70,30.19,0.26,-217.79
150545,28.78,1040.30,30.20,0.27,-222.68
151627,28.78,1039.90,30.19,0.27,-219.42
152695,28.78,1040.20,30.20,0.27,-221.87
153763,28.78,1040.20,30.20,0.27,-221.87
154831,28.77,1039.90,30.20,0.27,-219.42
155899,28.77,1040.10,30.20,0.27,-221.05
156967,28.78,1040.10,30.20,0.27,-221.05
158035,28.78,1039.90,30.20,0.27,-219.42
159103,28.78,1039.80,30.20,0.27,-218.61
160171,28.78,1039.80,30.21,0.27,-218.61
161239,28.78,1040.10,30.21,0.27,-221.05
162307,28.78,1039.70,30.21,0.26,-217.79
163378,28.78,1040.30,30.21,0.27,-222.68
164446,28.78,1040.00,30.21,0.27,-220.24
165514,28.78,1039.70,30.21,0.26,-217.79
166582,28.78,1039.90,30.21,0.27,-219.42
167650,28.78,1039.90,30.21,0.27,-219.42
168718,28.78,1039.80,30.21,0.27,-218.61
169786,28.78,1040.00,30.22,0.27,-220.24
170854,28.78,1040.10,30.22,0.27,-221.05
171922,28.78,1040.00,30.22,0.27,-220.24
172990,28.78,1039.80,30.22,0.27,-218.61
174058,28.78,1039.80,30.22,0.27,-218.61
175126,28.78,1039.60,30.22,0.26,-216.98
176197,28.78,1039.80,30.22,0.27,-218.61
177265,28.78,1039.80,30.22,0.27,-218.61
178333,28.78,1039.70,30.23,0.26,-217.79
179401,28.78,1039.40,30.23,0.26,-215.35
180469,28.78,1040.20,30.23,0.27,-221.87
181537,28.78,1040.30,30.23,0.27,-222.68
182605,28.78,1039.90,30.23,0.27,-219.42
183673,28.77,1039.70,30.23,0.26,-217.79
184741,28.77,1039.80,30.23,0.27,-218.61
185809,28.77,1040.10,30.24,0.27,-221.05
186877,28.77,1040.10,30.24,0.27,-221.05
187945,28.77,1040.20,30.24,0.27,-221.87
189013,28.78,1040.10,30.24,0.27,-221.05
190084,28.78,1039.80,30.24,0.27,-218.61
191152,28.77,1040.20,30.24,0.27,-221.87
192220,28.78,1040.30,30.25,0.27,-222.68
193288,28.77,1039.90,30.25,0.27,-219.42
194356,28.78,1040.10,30.25,0.27,-221.05
195424,28.78,1040.00,30.26,0.27,-220.24
196492,28.78,1039.90,30.26,0.27,-219.42
197560,28.78,1040.20,30.26,0.27,-221.87
198628,28.78,1040.20,30.26,0.27,-221.87
199696,28.78,1039.70,30.26,0.26,-217.79
200764,28.78,1039.40,30.26,0.26,-215.35
201832,28.78,1039.90,30.26,0.27,-219.42
202903,28.78,1039.80,30.27,0.27,-218.61
203971,28.78,1039.60,30.27,0.26,-216.98
205039,28.78,1039.90,30.27,0.27,-219.42
206107,28.78,1039.70,30.27,0.26,-217.79
207175,28.78,1039.30,30.27,0.26,-214.54
208243,28.78,1039.70,30.27,0.26,-217.79
209311,28.78,1039.60,30.27,0.26,-216.98
210379,28.78,1039.70,30.28,0.26,-217.79
211447,28.78,1040.10,30.28,0.27,-221.05
212515,28.78,1040.20,30.28,0.27,-221.87
213583,28.78,1040.10,30.28,0.27,-221.05
214651,28.79,1039.90,30.28,0.27,-219.42
215719,28.78,1040.10,30.28,0.27,-221.05
216804,28.79,1039.70,30.29,0.26,-217.79
217872,28.79,1039.70,30.28,0.26,-217.79
218940,28.79,1039.90,30.29,0.27,-219.42
220008,28.79,1039.50,30.29,0.26,-216.17
221076,28.79,1040.50,30.29,0.27,-224.31
222144,28.79,1040.20,30.29,0.27,-221.87
223212,28.78,1040.00,30.29,0.27,-220.24
224280,28.79,1040.00,30.29,0.27,-220.24
225348,28.79,1039.80,30.29,0.27,-218.61
226416,28.79,1039.70,30.30,0.26,-217.79
227484,28.78,1040.30,30.30,0.27,-222.68
228552,28.78,1039.90,30.30,0.27,-219.42
229623,28.79,1040.10,30.30,0.27,-221.05
230691,28.78,1039.80,30.30,0.27,-218.61
231759,28.78,1039.60,30.30,0.26,-216.98
232827,28.78,1039.70,30.30,0.26,-217.79
233895,28.78,1039.80,30.30,0.27,-218.61
234963,28.78,1039.90,30.30,0.27,-219.42
236031,28.78,1040.20,30.30,0.27,-221.87
237099,28.78,1039.80,30.30,0.27,-218.61
238167,28.78,1040.10,30.30,0.27,-221.05
239235,28.78,1039.80,30.30,0.27,-218.61
240303,28.78,1039.50,30.30,0.26,-216.17
241371,28.78,1039.70,30.30,0.26,-217.79
242439,28.78,1040.00,30.30,0.27,-220.24
243510,28.78,1040.10,30.30,0.27,-221.05
244578,28.78,1040.10,30.31,0.27,-221.05
245646,28.78,1039.80,30.30,0.27,-218.61
246714,28.77,1039.90,30.30,0.27,-219.42
247782,28.77,1040.20,30.31,0.27,-221.87
248850,28.78,1039.70,30.31,0.26,-217.79
249918,28.77,1039.90,30.30,0.27,-219.42
250986,28.77,1040.10,30.31,0.27,-221.05
252054,28.77,1039.80,30.31,0.27,-218.61
253122,28.78,1039.90,30.31,0.27,-219.42
254190,28.77,1039.80,30.31,0.27,-218.61
255258,28.77,1039.70,30.31,0.26,-217.79
256329,28.77,1039.70,30.31,0.26,-217.79
257397,28.78,1039.80,30.31,0.27,-218.61
258465,28.77,1039.10,30.31,0.26,-212.90
259533,28.77,1039.80,30.31,0.27,-218.61
260601,28.77,1040.40,30.32,0.27,-223.50
261669,28.78,1039.80,30.31,0.27,-218.61
262737,28.78,1039.90,30.31,0.27,-219.42
263805,28.78,1039.80,30.31,0.27,-218.61
264873,28.78,1040.40,30.31,0.27,-223.50
265941,28.78,1039.60,30.31,0.26,-216.98
267009,28.78,1039.90,30.31,0.27,-219.42
268077,28.78,1040.20,30.32,0.27,-221.87
269145,28.78,1040.20,30.31,0.27,-221.87
270216,28.78,1040.20,30.31,0.27,-221.87
271284,28.78,1039.90,30.32,0.27,-219.42
272352,28.78,1039.60,30.32,0.26,-216.98
273420,28.78,1039.60,30.32,0.26,-216.98
274488,28.78,1039.80,30.32,0.27,-218.61
275556,28.78,1039.90,30.32,0.27,-219.42
276624,28.78,1039.50,30.33,0.26,-216.17
277692,28.78,1040.10,30.32,0.27,-221.05
278760,28.78,1040.00,30.33,0.27,-220.24
279828,28.78,1040.10,30.33,0.27,-221.05
280896,28.79,1039.90,30.33,0.27,-219.42
281972,28.79,1039.90,30.33,0.27,-219.42
283058,28.79,1039.90,30.33,0.27,-219.42
284126,28.79,1039.90,30.33,0.27,-219.42
285194,28.79,1040.40,30.33,0.27,-223.50
286262,28.79,1039.90,30.33,0.27,-219.42
287330,28.79,1040.00,30.34,0.27,-220.24
288398,28.79,1040.50,30.34,0.27,-224.31
289466,28.78,1039.80,30.34,0.27,-218.61
290534,28.78,1040.00,30.34,0.27,-220.24
291602,28.79,1040.40,30.34,0.27,-223.50
292670,28.79,1039.80,30.34,0.27,-218.61
293738,28.79,1040.20,30.34,0.27,-221.87
294806,28.79,1039.50,30.35,0.26,-216.17
295874,28.79,1040.00,30.34,0.27,-220.24
296945,28.79,1039.90,30.35,0.27,-219.42
298013,28.79,1040.30,30.35,0.27,-222.68
299081,28.79,1040.30,30.35,0.27,-222.68
300149,28.79,1040.30,30.35,0.27,-222.68
301217,28.78,1039.90,30.35,0.27,-219.42
302285,28.79,1039.90,30.35,0.27,-219.42
303353,28.79,1040.00,30.35,0.27,-220.24
304421,28.79,1040.50,30.35,0.27,-224.31
305489,28.78,1039.70,30.35,0.26,-217.79
306557,28.78,1039.50,30.36,0.26,-216.17
307625,28.78,1039.80,30.36,0.27,-218.61
308693,28.78,1040.20,30.36,0.27,-221.87
309764,28.78,1039.80,30.36,0.27,-218.61
310832,28.77,1040.10,30.35,0.27,-221.05
311900,28.76,1040.10,30.36,0.27,-221.05
312968,28.76,1040.10,30.36,0.27,-221.05
314036,28.75,1040.20,30.36,0.27,-221.87
315104,28.73,1040.40,30.36,0.27,-223.50
316172,28.73,1039.90,30.36,0.27,-219.42
317240,28.73,1040.30,30.35,0.27,-222.68
318308,28.73,1040.10,30.36,0.27,-221.05
319376,28.73,1040.00,30.36,0.27,-220.24
320444,28.73,1039.80,30.35,0.27,-218.61
321512,28.73,1039.90,30.36,0.27,-219.42
322580,28.73,1040.30,30.35,0.27,-222.68
323651,28.73,1040.30,30.35,0.27,-222.68
324719,28.72,1039.90,30.35,0.27,-219.42
325787,28.72,1040.30,30.35,0.27,-222.68
326855,28.72,1039.60,30.35,0.26,-216.98
327923,28.72,1040.20,30.35,0.27,-221.87
328991,28.71,1040.20,30.35,0.27,-221.87
330059,28.72,1040.50,30.35,0.27,-224.31
331127,28.71,1040.20,30.35,0.27,-221.87
332195,28.72,1039.80,30.35,0.27,-218.61
333263,28.72,1040.40,30.35,0.27,-223.50
334331,28.72,1039.80,30.35,0.27,-218.61
335399,28.72,1040.90,30.35,0.28,-227.57
336470,28.73,1040.30,30.35,0.27,-222.68
337538,28.73,1040.00,30.35,0.27,-220.24
338606,28.73,1040.00,30.36,0.27,-220.24
339674,28.73,1040.10,30.36,0.27,-221.05
340742,28.73,1040.00,30.36,0.27,-220.24
341810,28.73,1040.40,30.36,0.27,-223.50
342878,28.73,1040.20,30.36,0.27,-221.87
343946,28.73,1039.50,30.36,0.26,-216.17
345014,28.74,1040.10,30.36,0.27,-221.05
346082,28.74,1039.40,30.36,0.26,-215.35
347158,28.75,1039.70,30.36,0.26,-217.79
348232,28.75,1040.10,30.37,0.27,-221.05
349300,28.75,1039.60,30.37,0.26,-216.98
350371,28.76,1040.30,30.37,0.27,-222.68
351439,28.76,1040.00,30.37,0.27,-220.24
352507,28.76,1040.30,30.38,0.27,-222.68
353575,28.76,1040.50,30.38,0.27,-224.31
354643,28.76,1040.10,30.38,0.27,-221.05
355711,28.77,1040.30,30.38,0.27,-222.68
356779,28.77,1040.00,30.38,0.27,-220.24
357847,28.77,1039.60,30.38,0.26,-216.98
358915,28.77,1039.80,30.38,0.27,-218.61
