# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
0.00,24.17,1039.30,24.93,0.26,-214.54
1.21,24.14,1039.40,24.93,0.26,-215.35
2.28,24.11,1039.00,24.93,0.26,-212.09
3.36,24.08,1038.90,24.92,0.26,-211.27
4.43,24.05,1039.20,24.92,0.26,-213.72
5.51,24.03,1039.10,24.92,0.26,-212.90
6.58,24.00,1039.20,24.91,0.26,-213.72
7.66,23.97,1038.50,24.91,0.25,-208.01
8.73,23.96,1038.70,24.91,0.25,-209.64
9.81,23.94,1038.80,24.90,0.26,-210.46
10.88,23.94,1038.80,24.90,0.26,-210.46
11.96,23.93,1039.50,24.89,0.26,-216.17
13.03,23.93,1039.00,24.89,0.26,-212.09
14.11,23.94,1038.70,24.89,0.25,-209.64
15.19,23.94,1039.70,24.88,0.26,-217.79
16.26,23.94,1038.80,24.88,0.26,-210.46
17.33,23.94,1039.10,24.88,0.26,-212.90
18.41,23.95,1038.90,24.87,0.26,-211.27
19.49,23.97,1038.80,24.87,0.26,-210.46
20.56,23.97,1038.90,24.87,0.26,-211.27
21.64,23.99,1038.80,24.87,0.26,-210.46
22.71,24.00,1038.90,24.86,0.26,-211.27
23.78,24.00,1038.80,24.86,0.26,-210.46
24.86,24.01,1039.50,24.86,0.26,-216.17
25.93,24.03,1038.90,24.86,0.26,-211.27
27.01,24.03,1038.90,24.86,0.26,-211.27
28.09,24.03,1039.70,24.86,0.26,-217.79
29.16,24.04,1039.30,24.86,0.26,-214.54
30.25,24.03,1038.80,24.86,0.26,-210.46
31.33,24.04,1039.00,24.86,0.26,-212.09
32.40,24.04,1038.80,24.86,0.26,-210.46
33.48,24.05,1038.70,24.85,0.25,-209.64
34.56,24.05,1038.80,24.85,0.26,-210.46
35.63,24.05,1038.90,24.85,0.26,-211.27
36.71,24.05,1038.80,24.84,0.26,-210.46
37.78,24.04,1038.50,24.84,0.25,-208.01
38.86,24.05,1039.20,24.84,0.26,-213.72
39.93,24.05,1038.10,24.84,0.25,-204.75
41.01,24.05,1039.20,24.84,0.26,-213.72
42.09,24.06,1038.80,24.84,0.26,-210.46
43.16,24.07,1038.90,24.84,0.26,-211.27
44.24,24.08,1039.30,24.83,0.26,-214.54
45.31,24.08,1038.80,24.83,0.26,-210.46
46.39,24.08,1039.40,24.83,0.26,-215.35
47.46,24.09,1039.00,24.83,0.26,-212.09
48.54,24.11,1038.30,24.82,0.25,-206.38
49.61,24.11,1039.50,24.83,0.26,-216.17
50.69,24.10,1038.70,24.82,0.25,-209.64
51.76,24.05,1038.10,24.82,0.25,-204.75
52.84,24.03,1038.60,24.82,0.25,-208.83
53.91,24.00,1038.50,24.82,0.25,-208.01
54.99,23.97,1038.80,24.82,0.26,-210.46
56.06,23.95,1038.80,24.81,0.26,-210.46
57.14,23.95,1038.70,24.81,0.25,-209.64
58.21,23.95,1039.40,24.80,0.26,-215.35
59.29,23.95,1038.40,24.80,0.25,-207.20
60.36,23.95,1038.90,24.80,0.26,-211.27
61.44,23.96,1038.30,24.79,0.25,-206.38
