# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,23.44,1013.50,24.11,0.00,-2.08,865,259,278,155
1.48,23.45,1013.10,24.12,0.00,1.25,853,275,287,145
2.56,23.45,1014.00,24.11,0.01,-6.24,846,183,198,155
3.64,23.46,1014.10,24.12,0.01,-7.07,843,189,216,149
4.72,23.47,1013.00,24.12,0.00,2.08,843,292,247,155
5.80,23.47,1012.10,24.14,-0.01,9.57,866,271,275,145
6.88,23.47,1011.80,24.14,-0.01,12.07,844,253,269,155
7.96,23.47,1012.20,24.15,-0.01,8.74,843,265,282,155
9.04,23.47,1012.00,24.16,-0.01,10.41,844,267,287,151
10.12,23.48,1012.80,24.14,-0.00,3.75,858,239,268,162
11.20,23.48,1013.90,24.13,0.01,-5.41,845,267,287,145
12.28,23.48,1013.50,24.14,0.00,-2.08,867,259,281,148
13.35,23.49,1013.30,24.14,0.00,-0.42,843,260,291,150
14.43,23.49,1013.30,24.14,0.00,-0.42,855,261,280,154
15.51,23.50,1012.90,24.16,-0.00,2.91,845,259,281,149
16.59,23.50,1012.70,24.16,-0.00,4.58,845,261,281,147
17.67,23.51,1012.60,24.15,-0.00,5.41,845,259,284,105
18.75,23.51,1012.70,24.16,-0.00,4.58,844,273,287,151
19.83,23.51,1013.10,24.17,0.00,1.25,846,258,292,157
20.91,23.52,1012.90,24.16,-0.00,2.91,844,273,281,149
21.99,23.51,1013.00,24.17,0.00,2.08,843,271,289,145
23.07,23.52,1012.50,24.16,-0.00,6.24,845,271,288,106
24.15,23.53,1012.70,24.17,-0.00,4.58,852,262,294,144
25.23,23.53,1012.40,24.17,-0.01,7.07,842,275,285,146
26.31,23.53,1012.90,24.17,-0.00,2.91,843,268,291,149
27.38,23.53,1012.30,24.18,-0.01,7.91,841,258,265,151
28.46,23.53,1012.90,24.18,-0.00,2.91,841,266,301,174
29.54,23.53,1012.30,24.18,-0.01,7.91,865,271,289,147
30.62,23.53,1012.90,24.18,-0.00,2.91,848,278,279,149
31.70,23.54,1012.10,24.19,-0.01,9.57,843,260,292,106
32.78,23.53,1011.40,24.19,-0.02,15.40,842,272,290,105
33.86,23.53,1012.20,24.19,-0.01,8.74,843,267,283,146
34.94,23.54,1011.90,24.19,-0.01,11.24,841,264,225,145
36.02,23.54,1012.00,24.19,-0.01,10.41,850,259,287,144
37.10,23.54,1011.90,24.20,-0.01,11.24,842,273,280,157
38.18,23.55,1012.50,24.20,-0.00,6.24,842,271,281,148
39.26,23.55,1012.10,24.20,-0.01,9.57,840,258,290,156
40.33,23.55,1012.30,24.20,-0.01,7.91,842,292,314,116
41.42,23.56,1012.70,24.20,-0.00,4.58,847,275,277,148
42.51,23.55,1012.40,24.20,-0.01,7.07,844,274,291,149
43.59,23.56,1012.10,24.20,-0.01,9.57,843,265,285,144
44.67,23.55,1012.50,24.20,-0.00,6.24,843,268,277,147
45.75,23.56,1012.50,24.20,-0.00,6.24,841,266,291,144
46.83,23.56,1013.00,24.21,0.00,2.08,841,268,296,154
47.90,23.57,1012.60,24.21,-0.00,5.41,841,268,278,155
48.98,23.57,1012.50,24.21,-0.00,6.24,841,268,291,147
50.85,23.57,1012.20,24.21,-0.01,8.74,844,277,284,156
51.93,23.57,1012.80,24.22,-0.00,3.75,843,264,288,154
53.01,23.58,1012.40,24.21,-0.01,7.07,843,266,291,152
54.86,23.58,1012.70,24.21,-0.00,4.58,844,273,286,106
55.94,23.58,1012.30,24.22,-0.01,7.91,840,272,293,146
57.02,23.58,1012.10,24.22,-0.01,9.57,847,263,276,157
58.10,23.59,1012.10,24.23,-0.01,9.57,865,267,277,149
59.18,23.58,1012.00,24.23,-0.01,10.41,841,266,287,149
60.26,23.58,1011.50,24.23,-0.01,14.57,850,275,280,155
61.33,23.59,1011.80,24.23,-0.01,12.07,853,286,299,152
62.41,23.59,1012.10,24.24,-0.01,9.57,843,272,280,142
63.49,23.59,1011.50,24.23,-0.01,14.57,842,254,218,99
64.57,23.59,1012.10,24.25,-0.01,9.57,844,288,319,156
65.65,23.59,1011.40,24.25,-0.02,15.40,841,278,230,144
66.73,23.59,1011.50,24.25,-0.01,14.57,841,255,271,141
67.81,23.59,1012.30,24.24,-0.01,7.91,866,241,255,177
68.89,23.59,1013.20,24.23,0.00,0.42,843,501,789,866
69.96,23.59,1013.90,24.22,0.01,-5.41,843,415,304,163
71.04,23.60,1014.30,24.22,0.01,-8.73,845,155,870,874
72.12,23.59,1014.10,24.21,0.01,-7.07,844,561,713,612
73.20,23.60,1014.10,24.22,0.01,-7.07,842,301,285,141
74.28,23.60,1014.40,24.22,0.01,-9.56,843,279,286,152
75.36,23.60,1013.90,24.22,0.01,-5.41,842,268,317,146
76.44,23.60,1014.00,24.23,0.01,-6.24,849,268,281,148
77.52,23.61,-23878.50,24.04,-246.67,nan,842,224,203,148
78.60,23.60,1013.60,24.23,0.01,-2.91,844,275,281,145
79.68,23.60,1013.70,24.23,0.01,-3.74,843,266,293,153
80.76,23.60,1013.60,24.23,0.01,-2.91,844,293,299,157
81.83,23.61,1014.00,24.23,0.01,-6.24,866,261,285,144
82.92,23.61,1013.80,24.24,0.01,-4.58,844,278,229,139
84.00,23.61,1014.10,24.23,0.01,-7.07,848,246,195,138
85.07,23.61,1013.00,24.24,0.00,2.08,863,812,785,641
